Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T10:00:00.0000000+00:00,9/1/2023 10:00:00 AM,46.7367083818055,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,2066.43587916667,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,2066.43587916667,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,23860.0511819088,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,147.607652836667,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,59.6469142111222,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T11:00:00.0000000+00:00,9/1/2023 11:00:00 AM,47.123707222125,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,2048.57010558333,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,2048.57010558333,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,23860.1906681251,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,155.017583583611,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,59.5450268298361,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T12:00:00.0000000+00:00,9/1/2023 12:00:00 PM,47.6464673442389,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,1911.27395686111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,1911.27395686111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,23860.3477366581,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,147.162599875556,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,59.5035523872722,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T13:00:00.0000000+00:00,9/1/2023 1:00:00 PM,47.7968780283278,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,1895.15639236111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,1895.15639236111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,23860.4920244061,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,146.034180001389,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,59.3305739300028,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T14:00:00.0000000+00:00,9/1/2023 2:00:00 PM,47.6833350361028,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,1410.24293111111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,1410.24293111111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,23860.6443160021,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,151.592870751667,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,59.3963931014528,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T15:00:00.0000000+00:00,9/1/2023 3:00:00 PM,50.9586591326583,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,23860.8022061376,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,151,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,59.5164916265139,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T16:00:00.0000000+00:00,9/1/2023 4:00:00 PM,59.3440442151139,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,23860.9493902565,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,152.204180911111,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,59.5421082031333,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T17:00:00.0000000+00:00,9/1/2023 5:00:00 PM,59.3610878515222,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,23861.0954095576,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,152.185306054722,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,59.88132949945,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T18:00:00.0000000+00:00,9/1/2023 6:00:00 PM,59.6978271172778,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T19:00:00.0000000+00:00,9/1/2023 7:00:00 PM,23861.2460224131,m3,15456,Billing heatmeter MC602
