Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T06:00:00.0000000+00:00,11/1/2023 6:00:00 AM,46.7303054043583,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,27597.2782412778,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,27597.2782412778,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,24306.2919711841,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,1189.29926232222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,69.3607984986611,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T07:00:00.0000000+00:00,11/1/2023 7:00:00 AM,49.0477134058833,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,28298.2361767222,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,28298.2361767222,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,24307.3369718492,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,1056.37863612611,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,66.5825609809833,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T08:00:00.0000000+00:00,11/1/2023 8:00:00 AM,43.8249389550333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T09:00:00.0000000+00:00,11/1/2023 9:00:00 AM,24806.6453376111,W,15456,Billing heatmeter MC602
